Date,Open,High,Low,Close,Adj Close,Volume
2021-03-11,22.620001,23.490000,22.610001,23.290001,23.290001,130577500
2021-03-12,23.150000,23.379999,22.860001,23.170000,23.170000,68123200
2021-03-15,23.110001,23.670000,23.100000,23.650000,23.650000,68295000
2021-03-16,23.629999,23.680000,23.230000,23.280001,23.280001,43407900
2021-03-17,23.139999,24.129999,23.110001,24.080000,24.080000,77966400
2021-03-18,23.879999,23.900000,23.070000,23.240000,23.240000,77198900
2021-03-19,23.270000,24.040001,23.180000,24.000000,24.000000,90244500
2021-03-22,23.690001,23.780001,23.230000,23.520000,23.520000,44129300
2021-03-23,23.170000,23.629999,22.799999,22.799999,22.799999,57124700
2021-03-24,23.190001,23.540001,22.820000,22.820000,22.820000,63338300
2021-03-25,22.700001,23.299999,22.160000,23.200001,23.200001,79214500
2021-03-26,23.480000,23.879999,23.110001,23.459999,23.459999,60918600
2021-03-29,23.340000,23.830000,23.280001,23.830000,23.830000,50099700
2021-03-30,23.639999,23.990000,23.570000,23.830000,23.830000,41959100
2021-03-31,23.799999,24.230000,23.780001,24.100000,24.100000,68609400
2021-04-01,24.290001,24.389999,23.780001,23.889999,23.889999,47232900
